image_id,image_path,prediction,prediction_length,ground_truth,ground_truth_length,cosine_similarity
19-2-436-02_滝の下橋_PIC010,data\image_text_inspect_n10789\rank_c_images_n10789\19-2-436-02_滝の下橋_PIC010.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁にひびわれ（最大W=0.3mm)・鉄筋露出、横桁にうき・鉄筋露出、間詰めに空洞が見られる。ひびわれは、ASRや被り不足が原因と考えられる。前回点検からうきに進展が見られるため、経過観察を行い、状況により補修を行う。Re-testです。",161,舗装にひびわれが複数見られる。防護柵に腐食、変形、コーナービームの未設置が見られる。道路橋の機能に支障は生じていないが、前回点検からの劣化進行が見られるため、「状況に応じて監視や対策を行うことが望ましい」状態である。,108,0.63169223
01-3-032-01_小高野橋_PIC095,data\image_text_inspect_n10789\rank_c_images_n10789\01-3-032-01_小高野橋_PIC095.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁にひびわれ（最大W=0.3mm)・うき・鉄筋露出、横桁にひびわれ(W=0.15mm)・鉄筋露出、間詰めに鉄筋露出が見られる。ひびわれは、施工初期の乾燥収縮や温度、鉄筋露出は、被り不足が原因と考えられる。前回点検からうきに進展が見られるため、経過観察を行い、状況により補修を行う。うきに進展はないであれば、次回点検時に状況の確認を行う。",211,舗装にひびわれ(W=5mm未満）、伸縮装置にゴムの破損・後打ちコンクリートのひびわれ（最大W=5.0mm)・うき、地覆に鉄筋露出・うき・ひびわれ（W=0.3mm)、防護柵に表面的な腐食、排水桝の目皿に塗装の劣化、排水パイプ取付金具に著しい腐食が見られる。これらの損傷は、経過観察を行い、状況により補修を行う。,154,0.6629394
07-1-003-02__PIC152,data\image_text_inspect_n10789\rank_c_images_n10789\07-1-003-02__PIC152.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。予防保全の観点から，「状況に応じて対策を行うことが望ましい」状態である。前回点検：Ⅱ今回点検：Ⅱ NPO・市民団体等の補修指示により、補修が行われている可能性がある。部材耐荷力が低下し、道路橋の機能に支障が生じる可能性があるため，必要に応じて監視や対策を行うことが望ましい。",213,・主桁に鉄筋の腐食膨張によるものと推測されるうきおよび鉄筋のかぶり不足による鉄筋露出が見られる。また、広範囲に橋面からの浸透水によるものと推測され、かつ、補修不良によるものと推測される補修部のひびわれ、うきが見られる。・横桁に鉄筋の腐食膨張によるものと推測されるうきが見られる。・床版に鉄筋のかぶり不足による軽微な鉄筋露出が見られる。また、橋面からの浸透水によるものと推測されるひびわれからの遊離石灰が見られる。,206,0.7607311
08-1-004-01_吉野橋_PIC027,data\image_text_inspect_n10789\rank_c_images_n10789\08-1-004-01_吉野橋_PIC027.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。経過観察を行い、状況により補修を行う。前回点検時から進展は見られない。",111,・橋台に鉄筋の腐食膨張によるものと推測されるうきが見られる。・橋脚に鉄筋のかぶり不足による減肉を伴う鉄筋露出、補修部のうきが見られる。・橋台に橋座面の土砂堆積、伸縮装置部からの漏水による漏水跡が見られる。,102,0.78211504
11-3-002-01_古土手橋_PIC002,data\image_text_inspect_n10789\rank_c_images_n10789\11-3-002-01_古土手橋_PIC002.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。予防保全の観点から対策を実施することが望ましい。前回点検：Ⅱ今回点検：Ⅱ NPO・個人支援者連絡：不要（経過観察）",133,主桁にうき、添架物アンカーボルトの削孔跡に鉄筋露出、溝形鋼に必要面的な腐食が見られる。うきは、被り不足や中性化が原因と考えられる。前回点検からの進展は見られない。これらの損傷は、経過観察を行い、状況により補修を行う。,108,0.7374059
01-2-005-01_竹の丸上橋_PIC025,data\image_text_inspect_n10789\rank_c_images_n10789\01-2-005-01_竹の丸上橋_PIC025.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 橋台にひびわれ、伸縮装置からと思われる漏水跡が見られる。地覆に鉄筋露出が見られる。車道部分ではあまり問題ない路面状況である。ただ前回点検時より劣化進行が見られるため「状況に応じて監視や対策を行うことが望ましい」状態である。",153,舗装に欠損・段差（最大W=35mm)、伸縮装置にゴムの変形・後打ちコンクリートのひびわれ・欠損、地覆に鉄筋露出、防護柵に塗装の劣化・表面的な腐食・変形、排水桝に著しい土砂詰りが見られる。舗装の段差、排水桝の土砂詰りは、維持工事等で補修が必要である。その他の損傷は、経過観察を行い、状況により補修を行う。,151,0.66485566
16-3-553-04_中津江橋_PIC011,data\image_text_inspect_n10789\rank_c_images_n10789\16-3-553-04_中津江橋_PIC011.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、全体的にひびわれやうきが見られる。防護柵も同様であり、必要に応じて修理する必要がある。前回点検：Ⅱ今回点検：Ⅱ",113,支承のゴム材が露出し変形している。　　　　　　　　　　　必要に応じて支承の取替えが必要である。,47,0.49060458
17-2-002-01_川口橋_PIC008,data\image_text_inspect_n10789\rank_c_images_n10789\17-2-002-01_川口橋_PIC008.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁にひびわれ（最大W=0.3mm)・鉄筋露出、横桁にうき・鉄筋露出、間詰めに空洞が見られる。ひびわれは、ASRや被り不足が原因と考えられる。前回点検からうきに進展が見られるため、経過観察を行い、状況により補修を行う。Re-INSPECTIONで、新な損傷箇所が確認された。",179,橋台竪壁に鉛直方向ひびわれ(W=2.0mm)、斜め方向ひびわれ(W=0.3mm)、うき、剥離、コンクリートの表面劣化が見られる。ひびわれは、施工初期の乾燥収縮や温度、うき・剥離は、被り不足や中性化が原因と考えられる。これらの損傷に、前回点検からの進展は見られないため、次回点検時に状況の確認を行う。,149,0.7993186
02-3-014-02_田中橋_PIC007,data\image_text_inspect_n10789\rank_c_images_n10789\02-3-014-02_田中橋_PIC007.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 橋台にひびわれ、伸縮装置からと思われる漏水跡が見られる。また地覆に鉄筋露出が見られる。経過観察を行い、状況により補修を行う。前回点検時から進展はない。",117,伸縮装置部の舗装の段差がやや大きい。　　　　　　　　歩行者の通行に支障があるため補修が必要である,48,0.6038574
18-1-123-01_遠内・和田線1号橋_PIC004,data\image_text_inspect_n10789\rank_c_images_n10789\18-1-123-01_遠内・和田線1号橋_PIC004.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。経過観察を行い、状況により補修を行う。前回点検時から進展は見られない。",111,主桁に鉄筋露出・うき、床版に鉄筋露出が見られる。鉄筋の被り不足及び中性化、コンクリートの充填不足が原因と考えられる。前回点検からうきに進展が見られるため、経過観察を行い、状況により補修を行う。,96,0.7847745
4185_新田橋_PIC044,data\image_text_inspect_n10789\rank_c_images_n10789\4185_新田橋_PIC044.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁にひびわれ（最大W=0.3mm)・うき・鉄筋露出、横桁にひびわれ(W=0.15mm)・鉄筋露出、間詰めに鉄筋露出が見られる。ひびわれに錆汁は見られず、その他の損傷は局所的なため、経過観察を行い、状況により補修を行う。前回点検時からうきに進展が見られる。ひびわれに錆汁は見られず、その他の損傷は局所的なため、経過観察を行い、状況により補修を行う。",216,舗装にポットホールと路面の凹凸が認められる。防護柵のボルトナットに腐食が認められる。排水管に腐食が認められる。経過観察を行い状況に応じた対応が望まれる。,76,0.53485465
18-3-035-01_森長西経納線1号橋_PIC004,data\image_text_inspect_n10789\rank_c_images_n10789\18-3-035-01_森長西経納線1号橋_PIC004.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。予防保全の観点から，「状況に応じて対策を行うことが望ましい」状態である。前回点検：Ⅱ今回点検：Ⅱ N（必要に応じて）",134,主桁に鉄筋露出、うき、床版、横桁に鉄筋露出が見られる。前回点検で確認された損傷箇所での進行は見られないが、新たな鉄筋露出、うきが確認された。地覆からの伝い水等により内部鉄筋の膨張が生じたものと推定される。道路橋の機能に支障は生じていないが、前回点検からの劣化進行が見られるため、「状況に応じて監視や対策を行うことが望ましい」状態である。,168,0.7613682
02-2-003-01_鯖地橋_PIC002,data\image_text_inspect_n10789\rank_c_images_n10789\02-2-003-01_鯖地橋_PIC002.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、全体的にひびわれやうきが見られる。防護柵も同様であり、必要に応じて修理する必要がある。前回点検：Ⅱ今回点検：Ⅱ",113,舗装のひび割れが部分的に発生している。　　　　　経年劣化によるポットホールが複数見られる。　　　　　雨水の浸透により、主桁を損傷する恐れがあるため舗装の打替えが必要である。,86,0.6133752
10-3-001-01_宮の本橋_PIC002,data\image_text_inspect_n10789\rank_c_images_n10789\10-3-001-01_宮の本橋_PIC002.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、全体的にひびわれやうきが見られる。防護柵も同様であり、必要に応じて修理する必要がある。前回点検：Ⅱ今回点検：Ⅱ",113,伸縮装置に目地板の変形、地覆に鉄筋露出が見られる。これらの損傷は、局所的なため、経過観察を行い、状況により補修を行う。,59,0.7638965
10000_釣山梶畑線８号橋_PIC006,data\image_text_inspect_n10789\rank_c_images_n10789\10000_釣山梶畑線８号橋_PIC006.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、全体的にひびわれやうきが見られる。防護柵も同様であり、必要に応じて修理する必要がある。前回点検：Ⅱ今回点検：Ⅱ N（次回）",119,主桁、張出床版に鉄筋露出がみられる。緊急性はなく、予防保全の観点から健全度評価「Ⅱ」とする。,46,0.5654901
03-2-005-01_神田橋_PIC093,data\image_text_inspect_n10789\rank_c_images_n10789\03-2-005-01_神田橋_PIC093.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。経過観察を行い、状況により補修を行う。前回点検時から進展は見られない。",111,支承に著しい腐食による膨張・層状剥離、ナットに断面欠損が見られる。アンカーボルトに欠損は見られないため、経過観察を行い、状況により補修を行う。,71,0.6981011
19-3-113-01_瀬戸橋_PIC014,data\image_text_inspect_n10789\rank_c_images_n10789\19-3-113-01_瀬戸橋_PIC014.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。予防保全の観点から対策を実施することが望ましい。前回点検：Ⅱ今回点検：Ⅱ NPO・委託工事では必要に応じて補修する必要がある部分（表面的なひび割れやうき）がある。局所的であるため，経過観察とする。前回点検：Ⅱ今回点検：Ⅱ NPO・委託工事では必要に応じて補修する必要がある部分（断面修復等)がある。局所的であるため，経過観察とする。前回点検：Ⅱ今回点検：Ⅱ NPO・委託工事では必要に応じて補修する必要がある部分（断面修復等)がある。局所的であるため，経過観察とする。",310,橋台にひびわれ、剥離、伸縮装置からの漏水跡が見られた。経過を観察する必要がある。,40,0.67385006
4274_平安橋_PIC027,data\image_text_inspect_n10789\rank_c_images_n10789\4274_平安橋_PIC027.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、全体的にひびわれやうきが見られる。防護柵も同様であり、必要に応じて断面修復等の補修が必要である。前回点検：Ⅱ今回点検：Ⅱ",118,主桁側面にひびわれやうきや鉄筋露出が認められる。ヒンジ部主桁に変形･欠損が認められる。横桁に鉄筋露出や遊離石灰(錆汁なし）の析出が認められる。構造に支障が生じる可能性があるため早期措置を対応することが望ましい。,105,0.7349379
17-3-005-01_中の坪橋_PIC001,data\image_text_inspect_n10789\rank_c_images_n10789\17-3-005-01_中の坪橋_PIC001.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。経過観察を行い、状況により補修を行う。前回点検時から進展は見られない。",111,・主桁に板厚減少を伴う腐食が部分的に見られ、広範囲で軽微な腐食が見られる。・横桁に軽微な腐食が見られる。主桁添接部にF11Tボルトが使用されている。本点検時には異常はみらえなかったが、遅れ破壊によりボルトの破断が懸念される為、注意が必要である。,122,0.6489987
02-3-014-02_田中橋_PIC003,data\image_text_inspect_n10789\rank_c_images_n10789\02-3-014-02_田中橋_PIC003.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。経過観察を行い、状況により補修を行う。前回点検時から進展は見られない。道路橋の機能に支障は生じておらず、「状況に応じて監視や対策を行うことが望ましい」状態である。",157,主桁のひび割れ、鉄筋露出が部分的に発生している。　　　　　　　　　　　　　　　　必要に応じて補修する必要がある。,56,0.71304655
01-3-012-01_仁保市橋_PIC027,data\image_text_inspect_n10789\rank_c_images_n10789\01-3-012-01_仁保市橋_PIC027.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁にひびわれ（最大W=0.3mm)・鉄筋露出、横桁にうき・鉄筋露出、間詰めに空洞が見られる。ひびわれは、ASRや被り不足が原因と考えられる。前回点検からうきに進展が見られるため、経過観察を行い、状況により補修を行う。Re:間詰め部の空洞、ひびわれ注入により評価する。",176,舗装に欠損・ひびわれ（W=5mm未満）、伸縮装置にゴムの剥離・変形・後打ちコンクリートの欠損、地覆にひびわれ(W=0.2mm)・鉄筋露出、防護柵に変形・表面的な腐食、排水桝に著しい土砂詰りが見られる。排水桝の土砂詰りは、維持工事等で撤去が必要である。その他の損傷は、経過観察を行い、状況により補修を行う。,152,0.70677865
09-3-005-01_潟上橋_PIC044,data\image_text_inspect_n10789\rank_c_images_n10789\09-3-005-01_潟上橋_PIC044.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、全体的にひびわれやうきが見られる。防護柵も同様であり、必要に応じて修理する必要がある。前回点検：Ⅱ今回点検：Ⅱ(Ⅰ)補修済みなおっと知らせる。",129,支承の腐食による膨張が見られる。アンカーボルトに断面欠損は見られない為、経過観察とする。,44,0.5466676
01-2-003-01_蔵渡瀬橋_PIC006,data\image_text_inspect_n10789\rank_c_images_n10789\01-2-003-01_蔵渡瀬橋_PIC006.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。経過観察を行い、状況により補修を行う。前回点検時から進展は見られない。",111,主桁にひびわれ(W=0.1mm)・横締め定着部の鋼材露出・鉄筋露出、横桁に豆板・遊離石灰、間詰めに空洞・遊離石灰が見られる。これらの損傷は、局所的なため、経過観察を行い、状況により補修を行う。,96,0.7484488
01-3-036-01_八王子橋_PIC103,data\image_text_inspect_n10789\rank_c_images_n10789\01-3-036-01_八王子橋_PIC103.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。予防保全の観点から，「状況に応じて，必要に応じて断面修復等の補修が望ましい」状態である。前回点検：Ⅱ今回点検：Ⅱ N（10年）",139,主桁にひびわれ（最大W=0.5mm)・うき・遊離石灰・横締め定着部の鋼材露出・後埋めモルタルの剥離・鋼材露出、横桁にひびわれ（最大W=0.5mm)・うき・鉄筋露出・遊離石灰、横締め後埋部にうき、間詰めに遊離石灰が見られる。ひびわれに錆汁は見られず、その他の損傷と共に経過観察を行い、状況により補修を行う。,152,0.6880242
19-2-522-01_西ヶ原橋_PIC004,data\image_text_inspect_n10789\rank_c_images_n10789\19-2-522-01_西ヶ原橋_PIC004.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、全体的にひびわれやうきが見られる。防護柵も同様であり、必要に応じて断面修復等の補修が必要である。前回点検：Ⅱ今回点検：Ⅱ",118,主桁下面にうき、鉄筋露出が見られる。かぶり不足および伝い水が原因と思われる。前回点検からの劣化進行は軽微であり、道路橋の機能に支障は生じていないため「経過観察することが望ましい」状態である。,95,0.6815076
09-1-004-01_上市橋_PIC003,data\image_text_inspect_n10789\rank_c_images_n10789\09-1-004-01_上市橋_PIC003.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。経過観察を行い、状況により補修を行う。前回点検時から進展は見られない。",111,主桁全面に横断方向のひび割れ、床版に浮き、鉄筋露出が多数みられる。経年劣化によるものと思われる、補修対策を行うことが望ましい。,63,0.7362421
19-3-426-03_乱橋_PIC019,data\image_text_inspect_n10789\rank_c_images_n10789\19-3-426-03_乱橋_PIC019.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、間詰めからの遊離石灰なども見られる。経過観察を行い、状況により補修を行う。前回点検時から進展は見られない。",111,主桁に鉄筋露出が見られる。主桁に空隙が見られる。横桁に鉄筋露出が見られる。横桁に空隙が見られる。床版空隙が見られる。,58,0.60547066
19-2-424-02_嫁叶橋_PIC042,data\image_text_inspect_n10789\rank_c_images_n10789\19-2-424-02_嫁叶橋_PIC042.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、全体的にひびわれやうきが見られる。防護柵も同様であり、必要に応じて修理する必要がある。前回点検：Ⅱ今回点検：Ⅱ N（次回）",119,床版部の鉄筋露出、腐食が見られる。,17,0.6134553
15-1-006-01_江良橋_PIC004,data\image_text_inspect_n10789\rank_c_images_n10789\15-1-006-01_江良橋_PIC004.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁にひびわれ（最大W=0.3mm)・うき・鉄筋露出、横桁にひびわれ(W=0.15mm)・鉄筋露出、間詰めにひびわれ(W=0.15mm)が見られる。ひびわれは、施工初期の乾燥収縮や温度、鉄筋露出は、被り不足が原因と考えられる。前回点検からうきに進展が見られるため、経過観察を行い、状況により補修を行う。前回点検：Ⅱ今回点検：Ⅱ",205,主桁にひび割れが多数みられる。間詰めからの遊離石灰がみられる。いずれも補修対策を行うのが望ましい。,49,0.6293181
17-3-040-01_慶應橋_PIC074,data\image_text_inspect_n10789\rank_c_images_n10789\17-3-040-01_慶應橋_PIC074.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁にひびわれ（最大W=0.3mm)・鉄筋露出、横桁にうき・鉄筋露出、間詰めに空洞が見られる。ひびわれは、ASRや被り不足が原因と考えられる。前回点検からうきに進展が見られるため、経過観察を行い、状況により補修を行う。Re:間詰め部の空洞，経過観察を行う。",170,舗装に小さなポットホールが部分的に発生し、A2側伸縮装置付近の舗装の段差が大きい。　　　　　　　　　　伸縮装置目地材が一部ぬけ落ちている。　　　　　　　　　　　　　　　　高欄にひび割れ及び欠損、遊離石灰が部分的に発生している。　　　　　　　　　　　　　　　　　段差は通行者の安全性に影響を及ぼすため、維持工事等で補修が必要である。　　　　　　　　　　　　　　　　　　　その他の損傷は、局部的であり経過観察とする。,206,0.66707945
06-3-024-03_湯田橋_PIC008,data\image_text_inspect_n10789\rank_c_images_n10789\06-3-024-03_湯田橋_PIC008.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁にひびわれ（最大W=0.3mm)・うき・鉄筋露出、横桁にひびわれ(W=0.15mm)・鉄筋露出、床版にひびわれ(W=0.2mm)が見られる。ひびわれは、せん断力耐力不足及び内部鉄筋の被り不足が原因と考えられる。前回点検から主桁の鉄筋露出に進展が見られるため、経過観察を行い、状況により補修を行う。床版のひびわれは、前回点検時でも軽微なものであったため、次回点検時に進展を確認する。",234,・床版にかぶり不足による鉄筋露出および鉄筋の腐食膨張によるうきが散見される。,38,0.686893
18-3-058-01_大久保石曽根線1号橋_PIC005,data\image_text_inspect_n10789\rank_c_images_n10789\18-3-058-01_大久保石曽根線1号橋_PIC005.jpg,"USER:  
この橋梁の損傷状態を詳しく説明してください。 ASSISTANT: 主桁に鉄筋露出が見られる。また、全体的にひびわれやうきが見られる。防護柵も同様であり、必要に応じて修理する必要がある。前回点検：Ⅱ今回点検：Ⅱ(Ⅰ)考え方：橋面からの水の供給源及び地覆からの伝い水が原因と考えられる。前回点検時は局部的な損傷であったが、今回は進行性があるため速やかな対処が望ましい。",191,主桁に鉄筋露出、うきが見られる。前回点検で確認された損傷箇所での進行は見られないが、側面側両端部に集中して複数の鉄筋露出が新たに生じており、局所的であるが明らかな減肉が確認できる。橋面からの浸透水と地覆からの伝い水等により、内部鉄筋の腐食膨張が生じたものと推定される。道路橋の機能に支障は生じてないが、前回点検からの劣化進行が見られるため、「状況に応じて監視や対策を行うことが望ましい」状態である。,199,0.79549104
